CODIGO_DA_IES,NOME_DA_IES,SIGLA,CATEGORIA_DA_IES,COMUNITARIA,CONFESSIONAL,FILANTROPICA,ORGANIZACAO_ACADEMICA,CODIGO_MUNICIPIO_IBGE,MUNICIPIO,UF,SITUACAO_IES
4059,"FACULDADE DE SAÚDE, CIÊNCIAS E TECNOLOGIA - FACESB",FACESB,Privada,N,N,N,Faculdade,3549409,São Joaquim da Barra,SP,Ativa
74,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE SÃO JOSÉ DO RIO PARDO,FFCL,Pública,N,N,N,Faculdade,3549706,São José do Rio Pardo,SP,Ativa
1046,UNIÃO DAS FACULDADES DOS GRANDES LAGOS,UNILAGO,Privada,N,N,N,Faculdade,3549805,São José do Rio Preto,SP,Ativa
24253,Faculdade Invictus,FIRP,Privada,N,N,N,Faculdade,3549805,São José do Rio Preto,SP,Ativa
5124,FACULDADE FACMIL,null,Privada,N,N,N,Faculdade,3549805,São José do Rio Preto,SP,Ativa
2342,INSTITUTO SUPERIOR DE EDUCAÇÃO CERES,ISE-CERES,Privada,N,N,N,Faculdade,3549805,São José do Rio Preto,SP,Ativa
17803,Faculdade Estácio de Rio Preto,Estácio Rio Preto,Privada,N,N,N,Faculdade,3549805,São José do Rio Preto,SP,Ativa
146,CENTRO UNIVERSITÁRIO DE RIO PRETO,UNIRP,Privada,N,N,N,Centro Universitário,3549805,São José do Rio Preto,SP,Ativa
21238,Faculdade Anhanguera de São José do Rio Preto,FASJRP,Privada,N,N,N,Faculdade,3549805,São José do Rio Preto,SP,Ativa
1129,CENTRO UNIVERSITÁRIO DO NORTE DE SÃO PAULO,UNORTE,Privada,N,N,N,Centro Universitário,3549805,São José do Rio Preto,SP,Ativa
21204,FACULDADE UNITERP,FACTERP,Privada,N,N,N,Faculdade,3549805,São José do Rio Preto,SP,Ativa
4025,FACULDADE DE TECNOLOGIA DE SÃO JOSÉ DO RIO PRETO,FATECRP,Pública,N,N,N,Faculdade,3549805,São José do Rio Preto,SP,Ativa
149,FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO,FAMERP,Pública,N,N,N,Faculdade,3549805,São José do Rio Preto,SP,Ativa
3533,FACULDADE CERES,FACERES,Privada,N,N,N,Faculdade,3549805,São José do Rio Preto,SP,Ativa
3753,FACULDADES INTEGRADAS DOM PEDRO II,DOMPEDRO,Privada,N,N,N,Faculdade,3549805,São José do Rio Preto,SP,Ativa
275,UNIVERSIDADE DO VALE DO PARAÍBA,UNIVAP,Privada,S,N,N,Universidade,3549904,São José dos Campos,SP,Ativa
4652,FACULDADE ANHANGÜERA DE SÃO JOSÉ,null,Privada,N,N,N,Faculdade,3549904,São José dos Campos,SP,Ativa
17887,Faculdade de Ciências Médicas de São José dos Campos,,Privada,N,N,N,Faculdade,3549904,São José dos Campos,SP,Ativa
4983,FACULDADE IBRA DE TECNOLOGIA,FACULDADE FITEC,Privada,N,N,N,Faculdade,3549904,São José dos Campos,SP,Ativa
15521,FACULDADE CATÓLICA DE SÃO JOSÉ DOS CAMPOS,CATÓLICA-SJC,Privada,N,N,N,Faculdade,3549904,São José dos Campos,SP,Ativa
3008,FACULDADE DO INSTITUTO NACIONAL DE PÓS-GRADUAÇÃO DE SÃO JOSÉ DOS CAMPOS,FACULDADE INPG - SJC,Privada,N,N,N,Faculdade,3549904,São José dos Campos,SP,Ativa
15581,Faculdade de Tecnologia de São José dos Campos - Jessen Vidal,FATECSJCAMPOS,Pública,N,N,N,Faculdade,3549904,São José dos Campos,SP,Ativa
23096,FACULDADE SANTO ANTÔNIO - SJC,FSA,Privada,N,N,N,Faculdade,3549904,São José dos Campos,SP,Ativa
22263,FACULDADE VANGUARDA,,Privada,N,N,N,Faculdade,3549904,São José dos Campos,SP,Ativa
24066,Faculdade Cristã da Cidade,FCC,Privada,N,N,N,Faculdade,3549904,São José dos Campos,SP,Ativa
2726,FACULDADE BILAC DE SÃO JOSÉ DOS CAMPOS,BILAC,Privada,N,N,N,Faculdade,3549904,São José dos Campos,SP,Ativa
602,INSTITUTO TECNOLÓGICO DE AERONÁUTICA,ITA,Pública,N,N,N,Faculdade,3549904,São José dos Campos,SP,Ativa
2625,CENTRO UNIVERSITÁRIO UFBRA,UFBRA,Privada,N,N,N,Centro Universitário,3549904,São José dos Campos,SP,Ativa
5669,CENTRO UNIVERSITÁRIO ETEP,null,Privada,N,N,N,Centro Universitário,3549904,São José dos Campos,SP,Ativa
1624,FACULDADE MARECHAL RONDON,FMR,Privada,N,N,N,Faculdade,3550100,São Manuel,SP,Ativa
745,INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE SÃO MANUEL,IMESSM,Pública,N,N,N,Faculdade,3550100,São Manuel,SP,Ativa
20328,FACULDADE DE ODONTOLOGIA DA APCD,FAOA,Privada,N,N,N,Faculdade,3550308,São Paulo,SP,Ativa
34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,FATEC-SP,Pública,N,N,N,Faculdade,3550308,São Paulo,SP,Ativa
25656,INSTITUTO PLENITUDE EDUCAÇÃO,IPLENI,Privada,N,N,N,Faculdade,3550308,São Paulo,SP,Ativa
